overview_date,name,Erro
2024-12-30 00:00:00,CSHG CHIEFS FIA IE,0.03%
2024-12-30 00:00:00,CSHG YANKEE FIC FIM IE,0.04%
2024-12-30 00:00:00,DODGERS FIA,0.03%
2024-12-30 00:00:00,RAMS FIA,0.03%
2024-12-30 00:00:00,TITANS FIF MULTI,0.03%
2024-12-31 00:00:00,Carteira 1,-0.02%
2024-12-31 00:00:00,CSHG CHIEFS FIA IE,-3.21%
2024-12-31 00:00:00,CSHG YANKEE FIC FIM IE,-3.24%
2024-12-31 00:00:00,DODGERS FIA,-3.21%
2024-12-31 00:00:00,RAMS FIA,-3.21%
2024-12-31 00:00:00,TITANS FIF MULTI,-3.20%
2025-01-02 00:00:00,Carteira 1,-0.01%
2025-01-02 00:00:00,CSHG CHIEFS FIA IE,0.30%
2025-01-02 00:00:00,CSHG YANKEE FIC FIM IE,-0.12%
2025-01-02 00:00:00,DODGERS FIA,0.09%
2025-01-02 00:00:00,RAMS FIA,0.02%
2025-01-02 00:00:00,TITANS FIF MULTI,0.01%
2025-01-03 00:00:00,Carteira 1,-0.01%
2025-01-03 00:00:00,CSHG CHIEFS FIA IE,-0.12%
2025-01-03 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-01-03 00:00:00,DODGERS FIA,0.14%
2025-01-03 00:00:00,RAMS FIA,0.17%
2025-01-03 00:00:00,TITANS FIF MULTI,0.16%
2025-01-06 00:00:00,Carteira 1,-0.02%
2025-01-06 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-01-06 00:00:00,CSHG YANKEE FIC FIM IE,0.18%
2025-01-06 00:00:00,DODGERS FIA,0.23%
2025-01-06 00:00:00,RAMS FIA,0.20%
2025-01-06 00:00:00,TITANS FIF MULTI,0.20%
2025-01-07 00:00:00,Carteira 1,-0.02%
2025-01-07 00:00:00,CSHG CHIEFS FIA IE,-0.07%
2025-01-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-01-07 00:00:00,DODGERS FIA,-0.08%
2025-01-07 00:00:00,RAMS FIA,-0.04%
2025-01-07 00:00:00,TITANS FIF MULTI,5.50%
2025-01-08 00:00:00,Carteira 1,-0.01%
2025-01-08 00:00:00,CSHG CHIEFS FIA IE,-0.00%
2025-01-08 00:00:00,CSHG YANKEE FIC FIM IE,-0.02%
2025-01-08 00:00:00,DODGERS FIA,-0.01%
2025-01-08 00:00:00,RAMS FIA,-0.00%
2025-01-08 00:00:00,TITANS FIF MULTI,0.02%
2025-01-09 00:00:00,Carteira 1,-0.02%
2025-01-09 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-01-09 00:00:00,CSHG YANKEE FIC FIM IE,0.02%
2025-01-09 00:00:00,DODGERS FIA,0.07%
2025-01-09 00:00:00,RAMS FIA,0.02%
2025-01-09 00:00:00,TITANS FIF MULTI,0.05%
2025-01-10 00:00:00,Carteira 1,-0.01%
2025-01-10 00:00:00,CSHG CHIEFS FIA IE,-0.14%
2025-01-10 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-01-10 00:00:00,DODGERS FIA,-0.09%
2025-01-10 00:00:00,RAMS FIA,-0.11%
2025-01-10 00:00:00,TITANS FIF MULTI,-0.12%
2025-01-13 00:00:00,Carteira 1,-0.02%
2025-01-13 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-01-13 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-01-13 00:00:00,DODGERS FIA,-0.00%
2025-01-13 00:00:00,RAMS FIA,0.07%
2025-01-13 00:00:00,TITANS FIF MULTI,0.06%
2025-01-14 00:00:00,Carteira 1,-0.01%
2025-01-14 00:00:00,CSHG CHIEFS FIA IE,0.10%
2025-01-14 00:00:00,CSHG YANKEE FIC FIM IE,0.07%
2025-01-14 00:00:00,DODGERS FIA,0.08%
2025-01-14 00:00:00,RAMS FIA,0.10%
2025-01-14 00:00:00,TITANS FIF MULTI,0.11%
2025-01-15 00:00:00,Carteira 1,0.42%
2025-01-15 00:00:00,CSHG CHIEFS FIA IE,0.39%
2025-01-15 00:00:00,CSHG YANKEE FIC FIM IE,0.30%
2025-01-15 00:00:00,DODGERS FIA,0.32%
2025-01-15 00:00:00,RAMS FIA,0.40%
