overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
12/31/2024,1295,Risco >> Renda Fixa,BETA CURVA,1656191476,,772303.6955,,,
1/2/2025,1295,Risco >> Renda Fixa,BETA CURVA,1656798237,0.000366359,606760.8762,1656798237,1656191476,1656191476
1/3/2025,1295,Risco >> Renda Fixa,BETA CURVA,1699408275,0.000368203,610038.3086,1699408275,1656798237,1656798237
1/6/2025,1295,Risco >> Renda Fixa,BETA CURVA,1700034255,0.000368352,625979.6791,1700034255,1699408275,1699408275
1/7/2025,1295,Risco >> Renda Fixa,BETA CURVA,1700660479,0.00036836,626224.5228,1700660479,1700034255,1700034255
1/8/2025,1295,Risco >> Renda Fixa,BETA CURVA,1701286949,0.000368368,626469.4677,1701286949,1700660479,1700660479
1/9/2025,1295,Risco >> Renda Fixa,BETA CURVA,1701913663,0.000368377,626714.5136,1701913663,1701286949,1701286949
1/10/2025,1295,Risco >> Renda Fixa,BETA CURVA,1702540623,0.000368385,626959.6608,1702540623,1701913663,1701913663
1/13/2025,1295,Risco >> Renda Fixa,BETA CURVA,1703167828,0.000368394,627204.9091,1703167828,1702540623,1702540623
1/14/2025,1295,Risco >> Renda Fixa,BETA CURVA,1703795278,0.000368402,627450.2587,1703795278,1703167828,1703167828
1/15/2025,1295,Risco >> Renda Fixa,BETA CURVA,1704422974,0.00036841,627695.7096,1704422974,1703795278,1703795278
1/16/2025,1295,Risco >> Renda Fixa,BETA CURVA,1705050915,0.000368419,627941.2618,1705050915,1704422974,1704422974
1/17/2025,1295,Risco >> Renda Fixa,BETA CURVA,1705679102,0.000368427,628186.9154,1705679102,1705050915,1705050915
1/20/2025,1295,Risco >> Renda Fixa,BETA CURVA,1706307535,0.000368435,628432.6704,1706307535,1705679102,1705679102
1/21/2025,1295,Risco >> Renda Fixa,BETA CURVA,1706936213,0.000368444,628678.5269,1706936213,1706307535,1706307535
1/22/2025,1295,Risco >> Renda Fixa,BETA CURVA,1707565138,0.000368452,628924.485,1707565138,1706936213,1706936213
1/23/2025,1295,Risco >> Renda Fixa,BETA CURVA,1708194308,0.000368461,629170.5445,1708194308,1707565138,1707565138
1/24/2025,1295,Risco >> Renda Fixa,BETA CURVA,1708823725,0.000368469,629416.7057,1708823725,1708194308,1708194308
1/27/2025,1295,Risco >> Renda Fixa,BETA CURVA,1709453388,0.000368477,629662.9685,1709453388,1708823725,1708823725
1/28/2025,1295,Risco >> Renda Fixa,BETA CURVA,1710083297,0.000368486,629909.3331,1710083297,1709453388,1709453388
