overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
12/31/2024,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,322103446.3,0.000480914,154829.71,322103446.3,0,0
1/2/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,322249909.5,0.000454708,146463.17,322249909.5,322103446.3,322103446.3
1/3/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,322409570.7,0.000495458,159661.22,322409570.7,322249909.5,322249909.5
1/6/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,322558242.1,0.000461126,148671.42,322558242.1,322409570.7,322409570.7
1/7/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,372800796.5,0.000751971,242554.34,372800796.5,322558242.1,322558242.1
1/8/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373013955.3,0.000571777,213158.88,373013955.3,372800796.5,372800796.5
1/9/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373172893.1,0.000426091,158937.73,373172893.1,373013955.3,373013955.3
1/10/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373337134.3,0.000440121,164241.27,373337134.3,373172893.1,373172893.1
1/13/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373499514.5,0.000434942,162380.12,373499514.5,373337134.3,373337134.3
1/14/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373677406.3,0.000476284,177891.89,373677406.3,373499514.5,373499514.5
1/15/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,373861448.3,0.000492516,184041.99,373861448.3,373677406.3,373677406.3
1/16/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374091200,0.000614537,229751.66,374091200,373861448.3,373861448.3
1/17/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374266755,0.000469284,175554.97,374266755,374091200,374091200
1/20/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374436887.5,0.000454575,170132.49,374436887.5,374266755,374266755
1/21/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374605375.7,0.000449978,168488.28,374605375.7,374436887.5,374436887.5
1/22/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374772562.6,0.000446301,167186.88,374772562.6,374605375.7,374605375.7
1/23/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,374942926,0.000454578,170363.39,374942926,374772562.6,374772562.6
1/24/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375108195.8,0.000440787,165269.79,375108195.8,374942926,374942926
1/27/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375272160.7,0.000437114,163964.87,375272160.7,375108195.8,375108195.8
1/28/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375443440.6,0.000456415,171279.98,375443440.6,375272160.7,375272160.7
1/29/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375623431.5,0.000479409,179990.9,375623431.5,375443440.6,375443440.6
1/30/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375800399.8,0.000471132,176968.3,375800399.8,375623431.5,375623431.5
1/31/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,375992768,0.000511889,192368.12,375992768,375800399.8,375800399.8
2/3/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,376167539.3,0.000464826,174771.35,376167539.3,375992768,375992768
2/4/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,376370885.3,0.000540573,203345.98,376370885.3,376167539.3,376167539.3
2/5/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,376547286.9,0.000468691,176401.58,376547286.9,376370885.3,376370885.3
2/6/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,376710265.2,0.000432823,162978.32,376710265.2,376547286.9,376547286.9
2/7/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,376881975.5,0.000455815,171710.27,376881975.5,376710265.2,376710265.2
2/10/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,377070733.3,0.000500841,188757.81,377070733.3,376881975.5,376881975.5
2/11/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,377255426,0.000489809,184692.7,377255426,377070733.3,377070733.3
2/12/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,377447146.9,0.000508199,191720.92,377447146.9,377255426,377255426
2/13/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,377649373.4,0.000535774,202226.52,377649373.4,377447146.9,377447146.9
2/14/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,377825670,0.000466826,176296.62,377825670,377649373.4,377649373.4
2/17/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,378009439.2,0.000486386,183769.12,378009439.2,377825670,377825670
2/18/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,378187642.4,0.000471425,178203.24,378187642.4,378009439.2,378009439.2
2/19/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,436369057.1,0.000479695,181414.72,436369057.1,378187642.4,378187642.4
2/20/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,436584248,0.00049314,215190.93,436584248,436369057.1,436369057.1
2/21/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,436797752.5,0.000489034,213504.45,436797752.5,436584248,436584248
2/24/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,437011301.3,0.000488896,213548.82,437011301.3,436797752.5,436797752.5
2/25/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,437227779.3,0.00049536,216477.97,437227779.3,437011301.3,437011301.3
2/26/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,532450817.6,0.000510119,223038.27,532450817.6,437227779.3,437227779.3
2/27/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,532754060.5,0.000569523,303242.96,532754060.5,532450817.6,532450817.6
2/28/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,558778479.9,0.000421244,224419.43,558778479.9,532754060.5,532754060.5
3/5/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,559052186.4,0.00048983,273706.47,559052186.4,558778479.9,558778479.9
3/6/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,559332725,0.000501811,280538.59,559332725,559052186.4,559052186.4
3/7/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,559606699.2,0.000489823,273974.2,559606699.2,559332725,559332725
3/10/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,559884431.8,0.0004963,277732.64,559884431.8,559606699.2,559606699.2
3/11/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,560136442.4,0.000450112,252010.53,560136442.4,559884431.8,559884431.8
3/12/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,680410807.9,0.000489819,274365.49,680410807.9,560136442.4,560136442.4
3/13/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,680737115.6,0.000479575,326307.69,680737115.6,680410807.9,680410807.9
3/14/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,681104354.7,0.000539473,367239.13,681104354.7,680737115.6,680737115.6
3/17/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,681414234.8,0.000454967,309880.07,681414234.8,681104354.7,681104354.7
3/18/2025,1295,Caixa >> NC Cash Perenne,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA,789643980.5,0.000483914,329745.72,789643980.5,681414234.8,681414234.8
