portfolio_id,date,portfolio_nav
1203,2025-06-03,3141704402.620000000
1517,2025-05-21,1062749597.890000000
1234,2025-06-06,15384985.150000000
1517,2025-05-22,1083559853.900000000
1232,2025-06-06,10599433.690000000
1203,2025-05-28,3171374434.650000000
1886,2025-06-18,148331782.490000000
1206,2025-06-25,510726278.060000000
1203,2025-05-29,3172896305.520000000
1517,2025-05-23,1094252231.400000000
1210,2025-06-03,153507199.760000000
1210,2025-06-04,153785304.180000000
1203,2025-05-30,3140296456.270000000
1695,2025-05-15,474193880.380000000
1210,2025-05-30,153585107.210000000
1695,2025-05-26,473970931.140000000
1886,2025-05-09,299846077.810000000
1210,2025-06-05,153121975.770000000
1210,2025-06-17,153341138.330000000
1676,2025-04-30,18272736.840000000
1693,2025-05-02,5428101.820000000
1211,2025-05-09,1831128972.230000000
1273,2025-05-23,44050061.430000000
1517,2025-05-27,1146981833.700000000
1157,2025-06-06,75093936.740000000
1204,2025-05-29,379638632.800000000
1205,2025-06-25,316491438.700000000
1157,2025-05-16,74953330.190000000
1694,2025-06-20,16028473.150000000
1694,2025-06-23,16028473.150000000
1233,2025-06-20,92918214.020000000
1234,2025-06-17,8451103.670000000
1206,2025-06-11,504963793.540000000
1233,2025-06-17,92889804.090000000
1205,2025-05-29,315549529.270000000
1175,2025-05-16,2814629708.810000000
1208,2025-06-10,355000782.920000000
1211,2025-05-12,1828606710.050000000
1875,2025-06-16,95469074.730000000
1210,2025-06-25,154086480.060000000
1232,2025-06-05,10599296.570000000
1175,2025-05-29,2837545899.410000000
1882,2025-05-30,18866216.380000000
1676,2025-06-18,18303418.200000000
1296,2025-06-25,908890964.710000000
1211,2025-05-08,1827743736.120000000
1209,2025-06-06,405137143.130000000
1875,2025-06-11,95935213.970000000
1209,2025-06-09,404761518.900000000
1676,2025-05-29,18309581.760000000
1517,2025-05-05,1024561800.460000000
1517,2025-05-20,1107354622.610000000
1270,2025-05-08,1057792170.460000000
1175,2025-06-03,2848135334.350000000
1232,2025-06-13,10600099.080000000
1607,2025-05-13,166997466.450000000
1607,2025-05-19,169151877.500000000
1693,2025-05-27,5153605.760000000
1204,2025-06-02,373096442.970000000
1205,2025-06-24,316346556.200000000
1208,2025-05-07,330974468.030000000
1676,2025-06-03,18296480.140000000
1886,2025-06-04,147765773.860000000
1695,2025-05-29,477262005.910000000
1608,2025-05-27,181376237.990000000
1608,2025-05-29,181106650.230000000
1232,2025-06-20,10600625.100000000
1232,2025-06-24,10600877.790000000
1203,2025-06-06,3142905210.590000000
1203,2025-06-23,3162173254.150000000
1695,2025-05-28,476641966.760000000
1608,2025-06-02,182500549.770000000
1232,2025-06-02,10598900.160000000
1233,2025-06-24,92946696.370000000
1232,2025-06-17,10600367.520000000
1608,2025-05-30,182468019.080000000
1608,2025-05-12,179860514.880000000
1875,2025-06-18,95164831.960000000
1206,2025-06-02,501392317.280000000
1204,2025-05-22,378301021.540000000
1273,2025-06-16,44363887.840000000
1204,2025-06-06,377207285.270000000
1209,2025-06-12,414062921.350000000
1695,2025-06-11,478423247.870000000
1209,2025-06-16,418077084.980000000
1203,2025-06-05,3139894173.590000000
1886,2025-06-03,147413527.580000000
1211,2025-05-23,1830633867.860000000
1886,2025-06-06,147413704.990000000
1273,2025-06-13,44344057.350000000
1270,2025-06-24,1100432423.750000000
1203,2025-05-26,3164177506.210000000
1203,2025-06-09,3146344741.800000000
1203,2025-06-10,3147680583.060000000
1203,2025-06-11,3150076483.700000000
1210,2025-06-20,153735128.180000000
1273,2025-05-27,44123001.850000000
1157,2025-06-25,75767280.400000000
1676,2025-06-09,18303898.070000000
1694,2025-06-13,16016904.310000000
1676,2025-05-02,18273717.110000000
1296,2025-06-10,901050726.210000000
1211,2025-05-16,1832356871.130000000
1695,2025-05-30,476664456.900000000
1607,2025-06-24,174959272.820000000
1296,2025-05-29,874757943.840000000
1211,2025-05-20,1835259793.750000000
1175,2025-06-25,2871401598.050000000
1882,2025-06-04,18521950.890000000
1273,2025-06-11,44269695.500000000
1693,2025-06-25,5968385.570000000
1270,2025-05-12,1068657831.070000000
1175,2025-06-02,2834515930.500000000
1234,2025-06-23,5490592.640000000
1296,2025-06-20,905539749.570000000
1234,2025-06-24,4504550.470000000
1875,2025-06-09,96250647.480000000
1297,2025-06-12,1137418069.600000000
1693,2025-05-05,5429885.580000000
1295,2025-05-23,9174400412.150000000
1232,2025-06-23,10600755.050000000
1295,2025-05-26,9201793935.650000000
1295,2025-05-27,9240764471.150000000
1270,2025-05-26,1088792474.100000000
1608,2025-05-09,176407070.570000000
1270,2025-05-06,1057464404.400000000
1295,2025-05-28,9307063054.170000000
1232,2025-06-11,10599832.520000000
1295,2025-05-29,9315720339.800000000
1234,2025-06-18,7462589.900000000
1886,2025-06-23,149082704.440000000
1295,2025-05-30,9360962381.510000000
1205,2025-06-03,310363453.470000000
1273,2025-05-15,44014324.940000000
1270,2025-06-16,1102469955.950000000
1208,2025-06-20,357978378.110000000
1233,2025-06-23,92932486.640000000
1270,2025-06-18,1105032639.530000000
1517,2025-06-02,1132505365.890000000
1270,2025-06-23,1093568571.590000000
1608,2025-05-02,176844685.670000000
1517,2025-06-10,1187358504.360000000
1211,2025-06-10,1835761289.470000000
1608,2025-05-05,177140267.690000000
1270,2025-05-30,1096492992.190000000
1517,2025-06-03,1147862250.650000000
1270,2025-06-04,1102864339.860000000
1517,2025-05-28,1128756607.660000000
1270,2025-06-05,1101049806.060000000
1209,2025-05-20,400260596.610000000
1517,2025-06-04,1175209596.770000000
1209,2025-05-26,401251347.380000000
1517,2025-06-09,1158713837.710000000
1270,2025-06-12,1105126669.870000000
1517,2025-06-05,1179118493.060000000
1273,2025-06-23,44345247.520000000
1206,2025-06-03,502474101.320000000
1676,2025-06-13,18301637.600000000
1517,2025-05-13,1049450383.120000000
1270,2025-05-28,1095389214.720000000
1206,2025-06-06,502767797.040000000
1517,2025-06-18,1235103052.810000000
1210,2025-06-02,153361181.180000000
1204,2025-06-10,377914913.410000000
1875,2025-05-23,97906601.540000000
1875,2025-06-24,94708613.250000000
1676,2025-05-30,18296030.420000000
1693,2025-06-24,5897093.060000000
1676,2025-05-08,18299121.000000000
1695,2025-06-23,479925487.180000000
1875,2025-06-23,94860695.070000000
1693,2025-06-23,5825197.800000000
1676,2025-05-09,18300519.520000000
1676,2025-05-12,18300786.270000000
1270,2025-05-05,1056771181.390000000
1297,2025-06-06,1126820976.840000000
1607,2025-06-17,173566094.860000000
1270,2025-04-30,1046430916.580000000
1607,2025-05-23,173826451.150000000
1204,2025-05-16,378305600.800000000
1233,2025-05-23,92679745.680000000
1608,2025-06-03,181934902.170000000
1210,2025-06-24,154252351.440000000
1204,2025-06-09,377668909.600000000
1209,2025-05-02,386248038.020000000
1676,2025-05-22,18254850.670000000
1273,2025-06-24,44278951.400000000
1206,2025-06-17,505450256.580000000
1208,2025-06-11,355394154.770000000
1204,2025-06-05,377520242.360000000
1882,2025-06-05,18455083.780000000
1882,2025-06-06,18404833.000000000
