instrument_id,instrument_name
1240,BNY MELLON ARX LIQUIDEZ J FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI
1,BRL
1409,HY FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA
1239,JGP DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA
1238,JGP ESTRUTURADOS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA
1405,LFT - 01/09/2027
1756,VINCI SPS IV LOCAL FEEDER A FUNDO DE INVESTIMENTO  FINANCEIRO
1157,ASSAY FIM 95 JGP
1214,CSHG SOBERANO EXCLUSIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REF DI
1776,Flex knock_in_up_and_in 15 None
118,HYPE3
1215,TESOURO SELIC FI RF
1178,ES INVESTIMENTOS FUNDO DE INVESTIMENTO AÇÕES INVESTIMENTO NO EXTERIOR
1288,GERAÇÃO FUTURO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES
1226,KONDOR KOBOLD FIC DE FI MULTIMERCADO I CRÉDITO PRIVADO
1676,PATRIOTS FIP MULT
1705,AMZN US
1402,BOVA11
392,DEXP3
1673,DOLG25
1704,GOOGL US
1865,IBOVX13
1866,IBOVX137
1809,INDM25
1706,META US
1707,MSFT US
1213,NC CASH PERENNE FUNDO DE INVESTIMENTO RENDA FIXA
1708,NVDA US
1560,Repo (LFT  - 01/03/2029)
1362,Repo (NTN-B - 15/08/2028)
228,SOJA3
1845,SPY US
1262,WALDENCAST PLC
1663,WING25
1808,WINM25
1194,ASSAY FI EM AÇÕES BDR NÍVEL I INVESTIMENTO NO EXTERIOR
1247,CSHG BRONCOS FIM
1451,Repo (NTN-B - 15/05/2035)
1424,Repo (NTN-B - 15/08/2026)
1206,2663 FIM CP IE
1211,BETA RF FIM CP
1158,BTG 2664 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
1273,CSHG RHONE MASTER FIM
1274,FIDC MULTISETORIAL MAXIMUM
1886,2663 II FIF - MULT CRED PRIV RESP LIMITADA
1201,WOLVES FUNDO DE INVESTIMENTO MULTIMERCADO
1887,Absolute Strategy Offshore Segregated Portfolio
1200,CSHG ALLOCATION ACE CAPITAL W FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
1264,GENOA CAPITAL VESTAS III FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
1196,ITAÚ JANEIRO DISTRIBUIDORES FIF DA CLASSE DE INV EM COTAS MULTIMERCADO - RESPONSABILIDADE LIMITADA
1265,LEGACY CAPITAL ALPHA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
1285,LFT - 01/03/2027
1888,WDON25
1202,COWBOYS FUNDO DE INVESTIMENTO EM AÇÕES
1589,Repo (LTN  - 01/01/2026)
1626,VERDE AM MUNDI AÇÕES GLOBAIS FIF CIC DE AÇÕES RESP LIMITADA
1198,WHG LONG BIASED PERENNE FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES
1693,RED SOX FIP
1694,CELTICS FIP CLU
1224,ELEVA EDUCAÇÃO III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA
1272,Repo (NTN-B - 15/08/2030)
1219,PACKERS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
350,ABEV3
1261,ACCESS SPX THUNDERBOLT 2 FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
1310,BUD US
1256,CVRDA6
1657,DI1F29
1852,DOLN25
935,ENEV3
1252,LFT - 01/03/2026
1254,LFT - 01/09/2029
338,LREN3
333,NTCO3
1253,NTN-B  - 15/08/2028
1255,NTN-B  - 15/08/2040
1309,PFE US
1807,T10M25
1850,T10U25
1298,Treasury_Mulligan
298,UGPA3
2,USD
300,VALE3
83,VBBR3
1365,NTN-B  - 15/05/2029
1271,NTN-B  - 15/08/2030
1279,NTN-C - 01/01/2031
1450,NTN-F - 01/01/2031
1381,NTN-F - 01/01/2033
1434,NTN-F - 01/01/2035
1410,Repo (LFT - 01/03/2027)
1376,Repo (NTN-B - 15/05/2033)
1218,GLOBAL ENERGY FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA INVESTIMENTO NO EXTERIOR
1276,LFT - 01/09/2028
1235,PLURAL TESOURO SELIC FUNDO DE INVESTIMENTO RENDA FIXA SIMPLES
1217,SALTRIVER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA INVESTIMENTO NO EXTERIOR
1216,SALTMONT FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA INVESTIMENTO NO EXTERIOR
1278,ABSOLUTE PACE LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES
1629,ALPHA KEY AÇÕES FC FI
1153,CLASSE ÚNICA DE COTAS DO ASTER P FI EM AÇÕES RESPONSABILIDADE LIMITADA
1171,CSHG ALLOCATION SPX FALCON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM  AÇÕES
1277,CSHG SOBERANO PRIVATE I FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REF DI
1195,NORTE ASSET LONG BIAS PERENNE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES
1193,SQUADRA UDINE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES
1246,CS CERES I DEB NORTE FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
1160,CS CERES III DEB ASTER FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
1161,CS CERES IV CENTRAL FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO
1244,CSHG INFLATION 2030 FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO INVESTIMENTO NO EXTERIOR
1176,CSHG JIVE DISTRESSED ALLOCATION II FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO
1281,CSHG JIVE DISTRESSED ALLOCATION III FIC FIM - CP
1355,24D2962583
1356,BDIV11
1323,CRA019003V2
1188,LATACHE CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO
1883,Compromissada - 30/05/2025
1225,ELEVA EDUCAÇÃO I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - MULTIESTRATÉGIA
1231,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRADINHO
1184,ITAÚ FLEXPREV PEDRA FIF MULT CRÉD PRIV - RESP LIMITADA
1187,KONDOR ALLOCATION MASTER FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
1222,KYKLOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1221,LATACHE 1962 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
1698,LCA BB - 03/12/2027 A
1699,LCA BB - 03/12/2027 B
1316,LCA BB - 09/06/2025
1547,LCA BB - 10/09/2027
1618,LCA BB - 12/11/2027
1322,LCA BB - 14/07/2026
1601,LCA BB - 14/10/2027
1549,LCA BB - 16/09/2027
1318,LCA BB - 18/08/2025
1603,LCA BB - 29/10/2027
1315,LCA BB - 30/05/2025
1344,LCA SANTANDER - 09/06/2025
1346,LCA SANTANDER - 26/06/2026
1328,LCI BRADESCO - 12/01/2026
1407,LCI BRADESCO - 25/01/2026
1842,LCI BRADESCO - 27/03/2026
1327,LCI BRADESCO - 30/12/2025
1352,LCI SANTANDER - 05/12/2025
1353,LCI SANTANDER - 15/12/2025
1621,LCI SANTANDER - 18/02/2026
1350,LCI SANTANDER - 27/11/2025
1351,LCI SANTANDER - 28/11/2025
1408,LIG ITAÚ 23/08/2027
1537,LIG SANTANDER 02/03/2026
1536,LIG SANTANDER 13/02/2026
1533,LIG SANTANDER 21/11/2025
1538,LIG SANTANDER 23/02/2026
1210,MULLIGAN FIM CP
1223,NC PAR FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
1324,PETR17
1228,RHPBK COINVESTIMENTO - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
1227,RHPBK II COINVESTIMENTO - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
1234,YANKEE-F FIM IE
1861,Compromissada - 13/06/2025
1862,Compromissada - 13/06/2025 B
1321,LCA BB - 09/07/2026
1345,LCA SANTANDER - 30/10/2025
1576,LCI CEF - 30/09/2026
1348,LCI SANTANDER - 27/10/2025
1479,AZIMUT CART 3
1229,HONEY ISLAND BY 4UM FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
1349,LCI SANTANDER - 31/10/2025
1230,TEMAN PIER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
1237,TERRA XP PREVIDENCIÁRIO QUALIFICADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO
1853,CLASSE ÚNICA DE COTAS DO FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MISSION 1.1 MULTIESTRATÉGIA RESPONSA
1833,FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MISSION 1 MULTIESTRATÉGIA
1712,GERA GROWTH FIP MULT
1749,ASTRABET FIP MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA
1220,CHARGERS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES CAPITAL SEMENTE
1233,GIANTS-F FIM IE
1232,LIONS-F FIM IE
1391,Repo (NTN-B - 15/08/2032)
1436,Repo (NTN-F - 01/01/2035)
1452,Repo (NTN-F - 01/01/2031)
1751,Repo (LTN - 01/04/2027)
1401,Repo (NTN-B - 15/05/2027)
1366,Repo (NTN-B - 15/05/2029)
1474,Repo (NTN-B - 15/08/2040)
1387,Repo (NTN-F - 01/01/2027)
1512,Repo (LFT - 01/09/2029)
1372,Repo (LTN - 01/04/2026)
1598,Repo (LFT - 01/09/2027)
1487,Repo (LFT  - 01/06/2030)
1710,Repo (LFT - 01/03/2028)
1470,Repo (LTN - 01/07/2027)
1476,Repo (NTN-B - 15/05/2045)
1893,Compromissada - 14/07/2025
1891,INDQ25
1890,WINQ25
1471,Repo (NTN-B - 15/08/2050)
1889,ACE CAPITAL W FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA
1687,Repo (LTN - 01/01/2029)
1486,Repo (LTN  - 01/01/2030)
1894,Compromissada - 25/07/2025
