date,portfolio_id,profitability_in_day,profitability_in_month,profitability_in_year
2024-12-30,1694,-0.0059362777,-0.012722048,-0.012722048
2024-12-30,1295,0.0003359996,-0.0038242752,
2024-12-30,1270,0.0017175786,0.0123833428,
2024-12-30,1608,-0.0612610153,-0.0580272784,-0.057660267
2024-12-30,1672,0.0007120126,-0.0080361373,-0.0080361373
2024-12-30,1517,0.0172229868,-0.0551032281,-0.28522061
2024-12-30,1234,-9.1456e-06,0.0011732397,
2024-12-30,1676,-0.0096354329,-0.192892846,-0.192892846
2024-12-30,1297,0.0008525422,0.0034692529,
2024-12-30,1203,-0.0014699706,-0.0100814599,
2024-12-30,1175,0.0020811456,-0.0159690989,
2024-12-30,1233,0.0001026897,0.0035029701,
2024-12-30,1247,-0.0010912771,-0.0365412179,
2024-12-30,1206,0.000674893,0.0070750286,
2024-12-30,1204,0.0006998661,0.0072667565,
2024-12-30,1232,-7.1952e-06,0.0033171426,
2024-12-30,1693,-0.0032775364,-0.005185644,-0.005185644
2024-12-30,1695,-0.0074161181,-0.02204608,-0.02204608
2024-12-30,1207,0.0,0.0,
2024-12-30,1209,0.0011233667,-0.0064139426,
2024-12-30,1875,0.0,0.0,0.0
2024-12-30,1208,0.0019671701,-0.0100651246,
2024-12-30,1296,0.0010340221,0.0036960008,
2024-12-30,1607,-0.0071764539,0.0049536236,0.005353146
2024-12-30,1205,0.0007014246,0.0072992611,
2024-12-30,1273,0.0056050913,0.0175660212,
2024-12-30,1157,0.000208393,-0.0021607836,
2024-12-30,1211,-0.003555737,-0.029137478,
2024-12-30,1210,-0.001999858,-0.0257296408,
2024-12-31,1203,0.0007190526,-0.0093696563,
2024-12-31,1517,4.45731e-05,-0.0550611111,-0.28518875
2024-12-31,1273,0.0029699471,0.0205881386,
2024-12-31,1232,-2.27487e-05,0.0032943184,
2024-12-31,1175,-0.0001648466,-0.0161313131,
2024-12-31,1209,-0.0045695102,-0.0109541443,
