overview_date,portfolio_id,instrument_id,book_name,instrument_type,quantity,price,asset_value,exposure_value,dtd_ativo_fin,portfolio_origem,nivel,portfolio_nav,pct_exposicao
2025-04-30,1157,1240,Caixa,3,499931.38182767,1.61551094,807644.62,807644.616591918,391.3,1157,0,74653112.660000000,0.010818632844825283
2025-04-30,1157,1,Caixa,7,100.46,1.0,100.46,100.46,0.0,1157,0,74653112.660000000,1.3456907076002958e-06
2025-04-30,1157,1409,Risco >> Crédito,3,31721505.59039967,1.07274105,34028961.21,34028961.214626215,31474.39,1157,0,74653112.660000000,0.4558277612563545
2025-04-30,1157,1239,Risco >> Crédito,3,20000.0,1258.096121,25161922.42,25161922.42,0.0,1157,0,74653112.660000000,0.3370512162647178
2025-04-30,1157,1238,Risco >> Crédito,3,15047.92716448,925.38577953,13925137.81,13925137.809412988,4677.07,1157,0,74653112.660000000,0.18653124180948236
2025-04-30,1157,1405,Caixa,1,30.0,16442.406115,493272.18,493272.18345,255.53,1157,0,74653112.660000000,0.006607523328552393
2025-04-30,1157,1756,Risco >> Crédito,3,250.0,976.42911562,244107.28,244107.278905,53.99,1157,0,74653112.660000000,0.0032698874863632513
2025-04-30,1175,1157,Risco >> Multimercado Terceiros,3,41383861.31221845,1.35307094,55995300.13,55995300.12655305,27391.15,1175,0,2722993773.930000000,0.020563873727018123
2025-04-30,1175,1,Caixa,7,16198299.93,1.0,16198299.93,16198299.93,0.0,1175,0,2722993773.930000000,0.005948709866722013
2025-04-30,1175,1214,Caixa,3,1626640.02805,4.3314135,7045650.58,7045650.577136149,10615.58,1175,0,2722993773.930000000,0.0025874648133944913
2025-04-30,1175,1776,Risco >> Renda Variável Próprio,15,-9449516.948036848,0.03026020119047619,-285944.2877502179,-285944.28400040953,96416.90124293417,1517,1,2722993773.930000000,-0.00010501099442020257
2025-04-30,1175,118,Risco >> Renda Variável Próprio,2,32547136.215689074,24.12,785036925.5224205,785036925.5224205,26037708.97255126,1517,1,2722993773.930000000,0.28829919959361666
2025-04-30,1175,1215,Padrão,3,2078765.2118144208,4.72084253,9813523.22281895,9813523.221817976,4885.730245266569,1517,1,2722993773.930000000,0.003603946257891904
2025-04-30,1175,1178,Risco >> Renda Variável Próprio,3,131213026.183163,0.2107784,27656871.72,27656871.718045205,421941.73,1175,0,2722993773.930000000,0.010156788452045935
2025-04-30,1175,1288,Risco >> Renda Variável Terceiros,3,174122102.78087977,1.1031927,192090232.7,192090232.69651625,-194355.08,1175,0,2722993773.930000000,0.07054376493093455
2025-04-30,1175,1226,Risco >> Crédito,3,3926280.3948825,5.7289019,22493275.21,22493275.214175105,0.0,1175,0,2722993773.930000000,0.008260494544470207
2025-04-30,1175,1676,Risco >> Ilíquidos,3,18338324.33,0.99642347,18272736.76,18272736.762884025,11554.25,1175,0,2722993773.930000000,0.006710531965892686
2025-04-30,1175,1705,Risco >> Renda Variável Próprio,2,29403.999980203265,184.42,30714091.669321228,30714091.670841224,-322172.94978309167,1270,1,2722993773.930000000,0.011279530627245127
2025-04-30,1175,1402,Padrão,3,3874374.9973915126,131.63,509983980.90664476,509983980.90664476,-891106.2494000478,1270,1,2722993773.930000000,0.18728797171306164
2025-04-30,1175,1,Caixa,7,424321.5597143184,1.0,424321.5597143184,424321.5597143184,0.0,1270,1,2722993773.930000000,0.00015582905982994968
2025-04-30,1175,392,Risco >> Renda Variável Próprio,2,3570499.9975961014,8.04,28706819.980672654,28706819.980672654,571279.9996153762,1270,1,2722993773.930000000,0.010542374446652195
2025-04-30,1175,1673,Padrão,5,0.0,5830.1,0.0,0.0,0.0,1270,1,2722993773.930000000,0.0
2025-04-30,1175,1816,Padrão,5,-324.9999997811883,5703.996,0.0,-92689934.93759495,-513581.24965422286,1270,1,2722993773.930000000,-0.03403971607464194
2025-04-30,1175,1704,Risco >> Renda Variável Próprio,2,35513.99997608961,158.8,31942825.778493956,31942825.78329396,-95533.79993568028,1270,1,2722993773.930000000,0.011730774447270225
2025-04-30,1175,1809,Padrão,5,-779.999999474852,137146.0,0.0,-106973879.92797805,198899.99986608725,1270,1,2722993773.930000000,-0.0392853927732587
2025-04-30,1175,1405,Caixa,1,1619.999998909308,16442.406115,26636697.8920664,26636697.8883664,13798.55999070989,1270,1,2722993773.930000000,0.00978213690511771
2025-04-30,1175,1706,Risco >> Renda Variável Próprio,2,10045.999993236363,549.0,31238398.638968226,31238398.634968232,-135200.9599089737,1270,1,2722993773.930000000,0.011472078612167726
2025-04-30,1175,1707,Risco >> Renda Variável Próprio,2,13887.999990649672,395.26,31091796.63906693,31091796.64338693,267254.16982006666,1270,1,2722993773.930000000,0.011418240078644486
2025-04-30,1175,1213,Caixa,3,162654358.53798345,1.10725649,180100094.1187446,180100094.1179691,100094.2399326099,1270,1,2722993773.930000000,0.06614047224134378
2025-04-30,1175,1708,Risco >> Renda Variável Próprio,2,57435.99996133026,108.92,35433582.51614375,35433582.51182374,163458.60988994877,1270,1,2722993773.930000000,0.01301272990451378
2025-04-30,1175,1710,Caixa,16,0.0,16395.43567924,0.0,0.0,10142.299993171528,1270,1,2722993773.930000000,0.0
2025-04-30,1175,1436,Caixa,16,24092.999983778987,803.15913221,19350512.956971943,19350512.959307473,0.0,1270,1,2722993773.930000000,0.007106337570276397
2025-04-30,1175,228,Risco >> Renda Variável Próprio,2,4694550.996839316,10.33,48494711.79735012,48494711.79735012,-1267528.7691466152,1270,1,2722993773.930000000,0.017809336275991346
2025-04-30,1175,1845,Padrão,3,19999.999986534665,554.54,62818291.157706544,62818291.157706544,371925.91974959464,1270,1,2722993773.930000000,0.023069568413681366
2025-04-30,1175,1846,Padrão,5,-1310.9999991173474,5703.996,0.0,-74779387.50965354,-414341.5497210376,1270,1,2722993773.930000000,-0.027462195553141906
2025-04-30,1175,1663,Caixa,5,0.0,124540.0,0.0,0.0,0.0,1270,1,2722993773.930000000,0.0
2025-04-30,1175,1808,Padrão,5,-18815.999987331816,137146.0,0.0,-516107826.8525218,959615.9993539226,1270,1,2722993773.930000000,-0.18953691036452197
2025-04-30,1175,1194,Risco >> Renda Variável Próprio,3,207269473.09799632,1.29658692,268742887.7298709,268742887.73415387,-233339.83556305774,1695,1,2722993773.930000000,0.09869390459394509
