overview_date,portfolio_id,instrument_name,instrument_id,book_name,instrument_type,quantity,price,asset_value,exposure_value,portfolio_origem,nivel,portfolio_nav
2025-04-30,1157,BNY MELLON ARX LIQUIDEZ J FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,1240,Caixa,3,499931.38182767,1.61551094,807644.62,807644.616591918,1157,0,74653112.660000000
2025-04-30,1157,BRL,1,Caixa,7,100.46,1.0,100.46,100.46,1157,0,74653112.660000000
2025-04-30,1157,HY FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA,1409,Risco >> Crédito,3,31721505.59039967,1.07274105,34028961.21,34028961.214626215,1157,0,74653112.660000000
2025-04-30,1157,JGP DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,1239,Risco >> Crédito,3,20000.0,1258.096121,25161922.42,25161922.42,1157,0,74653112.660000000
2025-04-30,1157,JGP ESTRUTURADOS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,1238,Risco >> Crédito,3,15047.92716448,925.38577953,13925137.81,13925137.809412988,1157,0,74653112.660000000
2025-04-30,1157,LFT - 01/09/2027,1405,Caixa,1,30.0,16442.406115,493272.18,493272.18345,1157,0,74653112.660000000
2025-04-30,1157,VINCI SPS IV LOCAL FEEDER A FUNDO DE INVESTIMENTO  FINANCEIRO,1756,Risco >> Crédito,3,250.0,976.42911562,244107.28,244107.278905,1157,0,74653112.660000000
2025-04-30,1175,BNY MELLON ARX LIQUIDEZ J FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,1240,Caixa,3,374985.13822646555,1.61551094,605792.5956985783,605792.5931422673,1157,1,2722993773.930000000
2025-04-30,1175,BRL,1,Caixa,7,75.35235505423063,1.0,75.35235505423063,75.35235505423063,1157,1,2722993773.930000000
2025-04-30,1175,HY FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA,1409,Risco >> Crédito,3,23793451.643465634,1.07274105,25524212.295665555,25524212.299135555,1157,1,2722993773.930000000
2025-04-30,1175,JGP DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,1239,Risco >> Crédito,3,15001.464275180297,1258.096121,18873284.01392441,18873284.01392441,1157,1,2722993773.930000000
2025-04-30,1175,JGP ESTRUTURADOS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,1238,Risco >> Crédito,3,11287.047088673093,925.38577953,10444872.86918387,10444872.868743567,1157,1,2722993773.930000000
2025-04-30,1175,LFT - 01/09/2027,1405,Caixa,1,22.502196412770445,16442.406115,369990.24931051524,369990.25189826783,1157,1,2722993773.930000000
2025-04-30,1175,VINCI SPS IV LOCAL FEEDER A FUNDO DE INVESTIMENTO  FINANCEIRO,1756,Risco >> Crédito,3,187.5183034397537,976.42911562,183098.33201157168,183098.33119024153,1157,1,2722993773.930000000
